id_obra,autor,titulo,recorrido_principal,recorrido_secundario,estado_recorrido,fuente_decision,evidencia,evidencia_textual,decision_explicita,conflicto_clasificacion,recorridos_en_conflicto,requiere_revision,en_corpus,observaciones
ferrerfreedomsmirror,Ada Ferrer,Freedom's Mirror: Cuba and Haiti in the Age of Revolution,,,pendiente,,,no,no,no,,no,sí,"figura en la cola de lectura de Atlas 2.0, sin abrir"
fischer,Sibylle Fischer,Modernity Disavowed: Haiti and the Cultures of Slavery in the Age of Revolution,,,pendiente,,,no,no,no,,no,sí,"figura en la cola de lectura de Atlas 2.0, sin abrir"
fouchard,Jean Fouchard,Les marrons de la liberté,,,pendiente,,,no,no,no,,no,sí,"figura en la cola de lectura de Atlas 2.0, sin abrir"
friedemannlengua,Carlos Patiño Rosselli & Nina S. de Friedemann,Lengua y sociedad en el Palenque de San Basilio,,,pendiente,,,no,no,no,,no,sí,"figura en la cola de lectura de Atlas 2.0, sin abrir"
globalculture,Karen Fog Olwig,"Global Culture, Island Identity: Continuity and Change in the Afro-Caribbean Community of Nevis",,,pendiente,,,no,no,no,,no,sí,"figura en la cola de lectura de Atlas 2.0, sin abrir"
goldbergabolition,Jess A. Goldberg,"Abolition Time: Grammars of Law, Poetics of Justice",,,pendiente,,,no,no,no,,no,sí,"figura en la cola de lectura de Atlas 2.0, sin abrir"
grosfoguelcolonial,Ramón Grosfoguel,Colonial Subjects: Puerto Ricans in a Global Perspective,,,pendiente,,,no,no,no,,no,sí,"figura en la cola de lectura de Atlas 2.0, sin abrir"
gudynas,Eduardo Gudynas,Extractivismos,,,pendiente,a02-generado.json,"La obra es pertinente para ecología política, pero la fuente consultada no demuestra un caso u orilla admisible del Atlas. No se asigna corriente hasta resolver elegibilidad. Título completo: Extracti",sí,sí,no,,sí,sí,lote · decisión: bloquear_por_alcance_y_corregir_bibliografia; con pendientes declarados
hallafricanslouisiana,Gwendolyn Midlo Hall,Africans in Colonial Louisiana: The Development of Afro-Creole Culture in the Eighteenth Century,,,pendiente,,,no,no,no,,no,sí,"figura en la cola de lectura de Atlas 2.0, sin abrir"
headleyreparaciones,Clevis Headley,A Philosophical Investigation into the Possibility/Impossibility of Reparations for Caribbean Slavery: Assessing the Legal Challenges,,,pendiente,,,no,no,no,,no,sí,"figura en la cola de lectura de Atlas 2.0, sin abrir"
helglibertyequality,Aline Helg,"Liberty and Equality in Caribbean Colombia, 1770-1835",,,pendiente,,,no,no,no,,no,sí,"figura en la cola de lectura de Atlas 2.0, sin abrir"
henrycaliban,Paget Henry,Caliban's Reason: Introducing Afro-Caribbean Philosophy,,,pendiente,,,no,no,no,,no,sí,"figura en la cola de lectura de Atlas 2.0, sin abrir"
hoeftesuriname,Rosemarijn Hoefte,"Suriname in the Long Twentieth Century: Domination, Contestation, Globalization",,,pendiente,,,no,no,no,,no,sí,"figura en la cola de lectura de Atlas 2.0, sin abrir"
islandfutures,Mimi Sheller,Island Futures: Caribbean Survival in the Anthropocene,,,pendiente,,,no,no,no,,no,sí,"figura en la cola de lectura de Atlas 2.0, sin abrir"
james_bannerethiopia,Winston James,Holding Aloft the Banner of Ethiopia: Caribbean Radicalism in Early Twentieth-Century America,,,pendiente,,,no,no,no,,no,sí,"figura en la cola de lectura de Atlas 2.0, sin abrir"
johnson_climatecuba,Sherry Johnson,Climate and Catastrophe in Cuba and the Atlantic World in the Age of Revolution,,,pendiente,,,no,no,no,,no,sí,"figura en la cola de lectura de Atlas 2.0, sin abrir"
johnsonbelize,Melissa A. Johnson,Becoming Creole: Nature and Race in Belize,,,pendiente,,,no,no,no,,no,sí,"figura en la cola de lectura de Atlas 2.0, sin abrir"
kahnislands,Jeffrey S. Kahn,Islands of Sovereignty: Haitian Migration and the Borders of Empire,,,pendiente,,,no,no,no,,no,sí,"figura en la cola de lectura de Atlas 2.0, sin abrir"
kalefragments,Madhavi Kale,"Fragments of Empire: Capital, Slavery, and Indian Indentured Labor in the British Caribbean",,,pendiente,,,no,no,no,,no,sí,"figura en la cola de lectura de Atlas 2.0, sin abrir"
kloosterrealm,Wim Klooster y Gert Oostindie,"Realm between Empires: The Second Dutch Atlantic, 1680-1815",,,pendiente,,,no,no,no,,no,sí,"figura en la cola de lectura de Atlas 2.0, sin abrir"
lebroncimarronaje,Pedro Lebrón Ortiz,Filosofía del cimarronaje,,,pendiente,,,no,no,no,,no,sí,"figura en la cola de lectura de Atlas 2.0, sin abrir"
lizcanocarnaval,Martha Lizcano Angarita y Danny González Cueto (comps.),"Leyendo el carnaval: miradas desde Barranquilla, Bahía y Barcelona",,,pendiente,,,no,no,no,,no,sí,"figura en la cola de lectura de Atlas 2.0, sin abrir"
looklaichinese,Walton Look Lai,"The Chinese in the West Indies, 1806-1995: A Documentary History",,,pendiente,,,no,no,no,,no,sí,"figura en la cola de lectura de Atlas 2.0, sin abrir"
mamalola,Karen McCarthy Brown,Mama Lola: A Vodou Priestess in Brooklyn,,,pendiente,,,no,no,no,,no,sí,"figura en la cola de lectura de Atlas 2.0, sin abrir"
martinezsanmiguel,Yolanda Martínez-San Miguel,Coloniality of Diasporas: Rethinking Intra-Colonial Migrations in a Pan Caribbean Context,,,pendiente,,,no,no,no,,no,sí,"figura en la cola de lectura de Atlas 2.0, sin abrir"
mcneillmosquito,J. R. McNeill,"Mosquito Empires: Ecology and War in the Greater Caribbean, 1620-1914",,,pendiente,,,no,no,no,,no,sí,"figura en la cola de lectura de Atlas 2.0, sin abrir"
mendozaraices,María Angélica del Mar Mendoza Manotas (comp.) et al.,"Raíces, Resistencias y Territorios: 500 años de experiencia Afro en Santa Marta",,,pendiente,,,no,no,no,,no,sí,"figura en la cola de lectura de Atlas 2.0, sin abrir"
meniketinevis,Marco G. Meniketti,"Sugar Cane Capitalism and Environmental Transformation: An Archaeology of Colonial Nevis, West Indies",,,pendiente,,,no,no,no,,no,sí,"figura en la cola de lectura de Atlas 2.0, sin abrir"
mintz,Sidney W. Mintz,Caribbean Transformations / Sweetness and Power,,,pendiente,piloto-generado.json,El nodo reúne dos obras con argumentos diferentes; no se confirma una corriente única hasta revisar cada componente.,no,sí,no,,sí,sí,lote · decisión: mantener_pendiente; con pendientes declarados
mintzpricebirth,Sidney W. Mintz y Richard Price,The Birth of African-American Culture: An Anthropological Perspective,,,pendiente,,,no,no,no,,no,sí,"figura en la cola de lectura de Atlas 2.0, sin abrir"
mitchellalibi,Timothy Mitchell,The Alibi of Capital: How We Broke the Earth to Steal the Future on the Promise of a Better Tomorrow,,,pendiente,,,no,no,no,,no,sí,"figura en la cola de lectura de Atlas 2.0, sin abrir"
muneraelfracaso,Alfonso Múnera,"El fracaso de la nación: región, clase y raza en el Caribe colombiano (1717-1821)",,,pendiente,,,no,no,no,,no,sí,"figura en la cola de lectura de Atlas 2.0, sin abrir"
munrohaitirising,Martin Munro (ed.),"Haiti Rising: Haitian History, Culture and the Earthquake of 2010",,,pendiente,,,no,no,no,,no,sí,"figura en la cola de lectura de Atlas 2.0, sin abrir"
olsencartagena,Margaret M. Olsen,Slavery and Salvation in Colonial Cartagena de Indias,,,pendiente,,,no,no,no,,no,sí,"figura en la cola de lectura de Atlas 2.0, sin abrir"
olwigstjohn,Karen Fog Olwig,Cultural Adaptation and Resistance on St. John,,,pendiente,,,no,no,no,,no,sí,"figura en la cola de lectura de Atlas 2.0, sin abrir"
pardomosquerahoffmann,"Mauricio Pardo, Claudia Mosquera y Odile Hoffmann (eds.)",Afrodescendientes en las Américas: trayectorias sociales e identitarias. 150 años de la abolición de la esclavitud en Colombia,,,pendiente,,,no,no,no,,no,sí,"figura en la cola de lectura de Atlas 2.0, sin abrir"
prestolmasacre,Freddy Prestol Castillo,El Masacre se pasa a pie (You Can Cross the Massacre on Foot),,,pendiente,,,no,no,no,,no,sí,"figura en la cola de lectura de Atlas 2.0, sin abrir"
puriradical,Shalini Puri (ed.),The Legacies of Caribbean Radical Politics,,,pendiente,,,no,no,no,,no,sí,"figura en la cola de lectura de Atlas 2.0, sin abrir"
quinnblackpower,Kate Quinn (ed.),Black Power in the Caribbean,,,pendiente,,,no,no,no,,no,sí,"figura en la cola de lectura de Atlas 2.0, sin abrir"
ramsaranlewis,Dave Ramsaran y Linden F. Lewis,Caribbean Masala: Indian Identity in Guyana and Trinidad,,,pendiente,,,no,no,no,,no,sí,"figura en la cola de lectura de Atlas 2.0, sin abrir"
rebeldestiny,Melville & Frances Herskovits,Rebel Destiny: Among the Bush Negroes of Dutch Guiana,,,pendiente,,,no,no,no,,no,sí,"figura en la cola de lectura de Atlas 2.0, sin abrir"
rediker,Marcus Rediker,Barco de esclavos: una historia humana,,,pendiente,,,no,no,no,,no,sí,"figura en la cola de lectura de Atlas 2.0, sin abrir"
reysinningcristorey,Édgar Rey Sinning,"Cristo Rey, un espacio para permanecer en el tiempo",,,pendiente,,,no,no,no,,no,sí,"figura en la cola de lectura de Atlas 2.0, sin abrir"
roberts,Neil Roberts,Freedom as Marronage,,,pendiente,,,no,no,no,,no,sí,"figura en la cola de lectura de Atlas 2.0, sin abrir"
robinsonmarxismo,Cedric J. Robinson,Marxismo negro: la formación de la tradición radical negra,,,pendiente,,,no,no,no,,no,sí,"figura en la cola de lectura de Atlas 2.0, sin abrir"
rtsmithmatrifocal,Raymond T. Smith,"The Matrifocal Family: Power, Pluralism and Politics",,,pendiente,,,no,no,no,,no,sí,"figura en la cola de lectura de Atlas 2.0, sin abrir"
russwurm,Winston James,"The Struggles of John Brown Russwurm: The Life and Writings of a Pan-Africanist Pioneer, 1799-1851",,,pendiente,,,no,no,no,,no,sí,"figura en la cola de lectura de Atlas 2.0, sin abrir"
saetheridentidades,Steinar A. Sæther,"Identidades e independencia en Santa Marta y Riohacha, 1750-1850",,,pendiente,,,no,no,no,,no,sí,"figura en la cola de lectura de Atlas 2.0, sin abrir"
sangbenvolviendo,Mukien Adriana Sang Ben,Volviendo al Caribe,,,pendiente,,,no,no,no,,no,sí,"figura en la cola de lectura de Atlas 2.0, sin abrir"
scher,Philip W. Scher,Carnival and the Formation of a Caribbean Transnation,,,pendiente,,,no,no,no,,no,sí,"figura en la cola de lectura de Atlas 2.0, sin abrir"
sharpewake,Christina Sharpe,In the Wake: On Blackness and Being,,,pendiente,,,no,no,no,,no,sí,"figura en la cola de lectura de Atlas 2.0, sin abrir"
shellererotic,Mimi Sheller,Citizenship from Below: Erotic Agency and Caribbean Freedom,,,pendiente,,,no,no,no,,no,sí,"figura en la cola de lectura de Atlas 2.0, sin abrir"
stewardpuertorico,"Julian H. Steward, Robert A. Manners, Eric R. Wolf, Elena Padilla Seda, Sidney W. Mintz, Raymond L. Scheele",The People of Puerto Rico: A Study in Social Anthropology,,,pendiente,piloto-generado.json,Es la misma obra que steward; sus metadatos y relaciones se conservan mediante fusión y redirección.,sí,sí,no,,no,no,lote · decisión: fusionar_y_redirigir
truebornmaroons,Kenneth Bilby,True-Born Maroons,,,pendiente,,,no,no,no,,no,sí,"figura en la cola de lectura de Atlas 2.0, sin abrir"
wilsoncrabantics,Peter J. Wilson,Crab Antics: The Social Anthropology of English-Speaking Negro Societies of the Caribbean,,,pendiente,,,no,no,no,,no,sí,"figura en la cola de lectura de Atlas 2.0, sin abrir"
zambrana,Rocío Zambrana,Colonial Debts: The Case of Puerto Rico,,,pendiente,,,no,no,no,,no,sí,"figura en la cola de lectura de Atlas 2.0, sin abrir"
zapataarbol,Manuel Zapata Olivella,El árbol brujo de la libertad,,,pendiente,,,no,no,no,,no,sí,"figura en la cola de lectura de Atlas 2.0, sin abrir"
zips_nannysasafo,Werner Zips,Nanny's Asafo Warriors: The Jamaican Maroons' African Experience,,,pendiente,,,no,no,no,,no,sí,"figura en la cola de lectura de Atlas 2.0, sin abrir"
zonabananera,Roberto Almanza y Margarita Granados Castellanos,Las geografías negras en la Zona Bananera: algunas cuestiones de método para encarar las vidas negras del Caribe colombiano,,,pendiente,,,no,no,no,,no,sí,"figura en la cola de lectura de Atlas 2.0, sin abrir"
alexander,M. Jacqui Alexander,"Pedagogies of Crossing: Feminism, Sexual Politics, Memory, and the Sacred",,,sin_evaluar,,,no,no,no,,no,sí,ni leída ni en la cola
allenvenceremos,Jafari S. Allen,¡Venceremos? The Erotics of Black Self-Making in Cuba,,,sin_evaluar,,,no,no,no,,no,sí,ni leída ni en la cola
almanzaorilla,Roberto Almanza Hernández,La orilla de Calibán: el rastro de la filosofía afrocaribe en el siglo XX,,,sin_evaluar,,,no,no,no,,no,sí,ni leída ni en la cola
barrowfamily,Christine Barrow,Family in the Caribbean: Themes and Perspectives,,,sin_evaluar,,,no,no,no,,no,sí,ni leída ni en la cola
bebelgislerleonora,Dany Bébel-Gisler,Léonora: The Buried Story of Guadeloupe,,,sin_evaluar,,,no,no,no,,no,sí,ni leída ni en la cola
bogueslammingreader,Anthony Bogues (ed.),The George Lamming Reader: The Aesthetics of Decolonisation,,,sin_evaluar,,,no,no,no,,no,sí,ni leída ni en la cola
bonilla,Yarimar Bonilla,Non-Sovereign Futures,,,sin_evaluar,,,no,no,no,,no,sí,ni leída ni en la cola
brathwaitearchipelago,Kamau Brathwaite,Caribbean Man in Space and Time,,,sin_evaluar,,,no,no,no,,no,sí,ni leída ni en la cola
brownetropic,Kevin Adonis Browne,"Tropic Tendencies: Rhetoric, Popular Culture, and the Anglophone Caribbean",,,sin_evaluar,,,no,no,no,,no,sí,ni leída ni en la cola
cabrera,Lydia Cabrera,El Monte,,,sin_evaluar,,,no,no,no,,no,sí,ni leída ni en la cola
cesaire,Aimé Césaire,Discurso sobre el colonialismo,,,sin_evaluar,,,no,no,no,,no,sí,ni leída ni en la cola
chicamusicaafricana,Ricardo Chica Geliz y Adrián Fajardo Martínez,¿Dónde hay música africana? Cultura picotera y Festival Internacional de Música del Caribe en Cartagena,,,sin_evaluar,,,no,no,no,,no,sí,ni leída ni en la cola
chocolatecorn,Laura A. Lewis,"Chocolate and Corn Flour: History, Race, and Place in the Making of Black Mexico",,,sin_evaluar,,,no,no,no,,no,sí,ni leída ni en la cola
citizenshipedge,Nancy J. Hirschmann & Deborah A. Thomas (eds.),"Citizenship on the Edge: Sex, Gender, Race",,,sin_evaluar,,,no,no,no,,no,sí,ni leída ni en la cola
clarkemymother,Edith Clarke,My Mother Who Fathered Me: A Study of the Families in Three Selected Communities of Jamaica,,,sin_evaluar,,,no,no,no,,no,sí,ni leída ni en la cola
corinealdipanama,Kaysha Corinealdi,Panama in Black: Afro-Caribbean World Making in the Twentieth Century,,,sin_evaluar,,,no,no,no,,no,sí,ni leída ni en la cola
creolenieworleans,Arnold R. Hirsch y Joseph Logsdon (eds.),Creole New Orleans: Race and Americanization,,,sin_evaluar,,,no,no,no,,no,sí,ni leída ni en la cola
creolite,"Bernabé, Chamoiseau, Confiant",Éloge de la créolité,,,sin_evaluar,,,no,no,no,,no,sí,ni leída ni en la cola
cunin,Elisabeth Cunin,Identidades a flor de piel: lo 'negro' entre apariencias y pertenencias,,,sin_evaluar,,,no,no,no,,no,sí,ni leída ni en la cola
curiel,Ochy Curiel,La Nación Heterosexual,,,sin_evaluar,,,no,no,no,,no,sí,ni leída ni en la cola
dunham,Katherine Dunham,Island Possessed,,,sin_evaluar,,,no,no,no,,no,sí,ni leída ni en la cola
fanon,Frantz Fanon,"Piel negra, máscaras blancas",,,sin_evaluar,,,no,no,no,,no,sí,ni leída ni en la cola
firmin,Anténor Firmin,De la igualdad de las razas humanas (The Equality of the Human Races),,,sin_evaluar,,,no,no,no,,no,sí,ni leída ni en la cola
garciapenaborders,Lorgia García-Peña,"The Borders of Dominicanidad: Race, Nation, and Archives of Contradiction",,,sin_evaluar,,,no,no,no,,no,sí,ni leída ni en la cola
godreauscripts,Isar P. Godreau,"Scripts of Blackness: Race, Cultural Nationalism, and U.S. Colonialism in Puerto Rico",,,sin_evaluar,,,no,no,no,,no,sí,ni leída ni en la cola
gosinenature,Andil Gosine,"Nature's Wild: Love, Sex, and Law in the Caribbean",,,sin_evaluar,,,no,no,no,,no,sí,ni leída ni en la cola
grenaderevolution,Wendy C. Grenade (ed.),The Grenada Revolution: Reflections and Lessons,,,sin_evaluar,,,no,no,no,,no,sí,ni leída ni en la cola
hagedorn,Katherine J. Hagedorn,Divine Utterances: The Performance of Afro-Cuban Santería,,,sin_evaluar,,,no,no,no,,no,sí,ni leída ni en la cola
hoeftetrajectories,"Rosemarijn Hoefte, Matthew L. Bishop y Peter Clegg (eds.)",Post-Colonial Trajectories in the Caribbean: The Three Guianas,,,sin_evaluar,,,no,no,no,,no,sí,ni leída ni en la cola
hurboncomprendre,Laënnec Hurbon,"Comprendre Haïti: essai sur l'État, la nation, la culture",,,sin_evaluar,,,no,no,no,,no,sí,ni leída ni en la cola
hurbondictadura,Laënnec Hurbon,Culture et dictature en Haïti: l'imaginaire sous contrôle,,,sin_evaluar,,,no,no,no,,no,sí,ni leída ni en la cola
kincaidsmallplace,Jamaica Kincaid,A Small Place,,,sin_evaluar,,,no,no,no,,no,sí,ni leída ni en la cola
kingisland,Rosamond S. King,Island Bodies: Transgressive Sexualities in the Caribbean Imagination,,,sin_evaluar,,,no,no,no,,no,sí,ni leída ni en la cola
knight_genesisnacionalismo,Franklin W. Knight,The Caribbean: The Genesis of a Fragmented Nationalism,,,sin_evaluar,,,no,no,no,,no,sí,ni leída ni en la cola
lara,Ana-Maurine Lara,Queer Freedom: Black Sovereignty,,,sin_evaluar,,,no,no,no,,no,sí,ni leída ni en la cola
lassoerased,Marixa Lasso,Erased: The Untold Story of the Panama Canal,,,sin_evaluar,,,no,no,no,,no,sí,ni leída ni en la cola
legrandfrontier,Catherine LeGrand,"Colonización y protesta campesina en Colombia, 1850-1950 (Frontier Expansion and Peasant Protest in Colombia)",,,sin_evaluar,,,no,no,no,,no,sí,ni leída ni en la cola
lindskoog,Carl Lindskoog,Detain and Punish: Haitian Refugees,,,sin_evaluar,,,no,no,no,,no,sí,ni leída ni en la cola
meeks_postcolonial,Brian Meeks,"After the Postcolonial Caribbean: Memory, Imagination, Hope",,,sin_evaluar,,,no,no,no,,no,sí,ni leída ni en la cola
mgsmithplural,M. G. Smith,The Plural Society in the British West Indies,,,sin_evaluar,,,no,no,no,,no,sí,ni leída ni en la cola
millerbassey,Ivor L. Miller y Bassey E. Bassey,Voice of the Leopard: African Secret Societies and Cuba,,,sin_evaluar,,,no,no,no,,no,sí,ni leída ni en la cola
modernblackness,Deborah A. Thomas,"Modern Blackness: Nationalism, Globalization, and the Politics of Culture in Jamaica",,,sin_evaluar,,,no,no,no,,no,sí,ni leída ni en la cola
mohammed_generosrealidades,Patricia Mohammed (ed.),Gendered Realities: Essays in Caribbean Feminist Thought,,,sin_evaluar,,,no,no,no,,no,sí,ni leída ni en la cola
oostindiedecolonising,Gert Oostindie e Inge Klinkers,Decolonising the Caribbean: Dutch Policies in a Comparative Perspective,,,sin_evaluar,,,no,no,no,,no,sí,ni leída ni en la cola
palmiengangas,Stephan Palmié,Thinking with Ngangas,,,sin_evaluar,,,no,no,no,,no,sí,ni leída ni en la cola
palmiewizards,Stephan Palmié,Wizards and Scientists,,,sin_evaluar,,,no,no,no,,no,sí,ni leída ni en la cola
ramadan,Omar Ramadan-Santiago,Constructing Spiritual Blackness: Rastafari in Puerto Rico,,,sin_evaluar,,,no,no,no,,no,sí,ni leída ni en la cola
rappaportcobarde,Joanne Rappaport,El cobarde no hace historia: Orlando Fals Borda y los inicios de la investigación-acción participativa,,,sin_evaluar,,,no,no,no,,no,sí,ni leída ni en la cola
reconfdominic,Kimberly Eison Simmons,Reconfiguring Dominicanness,,,sin_evaluar,,,no,no,no,,no,sí,ni leída ni en la cola
rodney,Walter Rodney,How Europe Underdeveloped Africa,,,sin_evaluar,,,no,no,no,,no,sí,ni leída ni en la cola
schweitzerbata,Kenneth George Schweitzer,"The Artistry of Afro-Cuban Batá Drumming: Aesthetics, Transmission, and Bonding",,,sin_evaluar,,,no,no,no,,no,sí,ni leída ni en la cola
scottconscripts,David Scott,Conscripts of Modernity: The Tragedy of Colonial Enlightenment,,,sin_evaluar,,,no,no,no,,no,sí,ni leída ni en la cola
smith_sexcitizen,Faith Smith (ed.),Sex and the Citizen: Interrogating the Caribbean,,,sin_evaluar,,,no,no,no,,no,sí,ni leída ni en la cola
smithredblack,Matthew J. Smith,"Red and Black in Haiti: Radicalism, Conflict, and Political Change, 1934-1957",,,sin_evaluar,,,no,no,no,,no,sí,ni leída ni en la cola
sonicbodies,Julian Henriques,"Sonic Bodies: Reggae Sound Systems, Performance Techniques, and Ways of Knowing",,,sin_evaluar,,,no,no,no,,no,sí,ni leída ni en la cola
tambu,Nanette de Jong,Tambú: Curaçao's African-Caribbean Ritual,,,sin_evaluar,,,no,no,no,,no,sí,ni leída ni en la cola
taylor,Patrick Taylor (ed.),"Nation Dance: Religion, Identity, and Cultural Difference in the Caribbean",,,sin_evaluar,,,no,no,no,,no,sí,ni leída ni en la cola
tellmyhorse,Zora Neale Hurston,Tell My Horse: Voodoo and Life in Haiti and Jamaica,,,sin_evaluar,,,no,no,no,,no,sí,ni leída ni en la cola
tinsley,Omise'eke Natasha Tinsley,Ezili's Mirrors: Imagining Black Queer Genders,,,sin_evaluar,,,no,no,no,,no,sí,ni leída ni en la cola
trouillot,Michel-Rolph Trouillot,The Caribbean Region: An Open Frontier,,,sin_evaluar,,,no,no,no,,no,sí,ni leída ni en la cola
trouillothaitistate,Michel-Rolph Trouillot,Haiti: State Against Nation. The Origins and Legacy of Duvalierism,,,sin_evaluar,,,no,no,no,,no,sí,ni leída ni en la cola
trouillotsilencing,Michel-Rolph Trouillot,Silenciando el pasado: el poder y la producción de la Historia,,,sin_evaluar,,,no,no,no,,no,sí,ni leída ni en la cola
trouillottransformaciones,Michel-Rolph Trouillot,Transformaciones globales: la antropología y el mundo moderno (Global Transformations),,,sin_evaluar,,,no,no,no,,no,sí,ni leída ni en la cola
ulysseWhyHaiti,Gina Athena Ulysse,Why Haiti Needs New Narratives: A Post-Quake Chronicle,,,sin_evaluar,,,no,no,no,,no,sí,ni leída ni en la cola
vanderpijl_equaliberty,Yvon van der Pijl y Francio Guadeloupe (eds.),Equaliberty in the Dutch Caribbean: Ways of Being Non/Sovereign,,,sin_evaluar,,,no,no,no,,no,sí,ni leída ni en la cola
vete,Hanétha Vété-Congolo (ed.),The Caribbean Oral Tradition,,,sin_evaluar,,,no,no,no,,no,sí,ni leída ni en la cola
wilderfreedomtime,Gary Wilder,"Freedom Time: Negritude, Decolonization, and the Future of the World",,,sin_evaluar,,,no,no,no,,no,sí,ni leída ni en la cola
wirtzperforming,Kristina Wirtz,"Performing Afro-Cuba: Image, Voice, Spectacle in the Making of Race and History",,,sin_evaluar,,,no,no,no,,no,sí,ni leída ni en la cola
yountaesecular,An Yountae,"The Coloniality of the Secular: Race, Religion, and Poetics of World-Making",,,sin_evaluar,,,no,no,no,,no,sí,ni leída ni en la cola
